grid_id,acronym
grid.1001.0,ANU
grid.1003.2,UQ
grid.1005.4,UNSW
grid.1007.6,UOW
grid.1009.8,UTAS
grid.1011.1,JCU
grid.1012.2,UWA
grid.1013.3,USYD
grid.1016.6,CSIRO
grid.1017.7,RMIT
grid.1019.9,VU
grid.1020.3,UNE
grid.1023.0,CQU
grid.1024.7,QUT
grid.1029.a,UWS
grid.1031.3,SCU
grid.1034.6,USC
grid.1035.7,WUT
grid.1037.5,CSU
grid.1038.a,ECU
grid.1039.b,UC
grid.1043.6,CDU
grid.1046.3,AIMS
grid.1047.2,AAD
grid.1048.d,USQ
grid.1049.c,QIMR
grid.1052.6,LICR
grid.1057.3,VCCRI
grid.1073.5,SVI
grid.1076.0,HRI
grid.1089.0,ANSTO
grid.1108.8,NPS
grid.1214.6,SI
grid.1463.0,RDDC
grid.1463.0,DRDC
grid.1489.4,LEI
grid.1694.a,WCH
grid.2678.b,EA
grid.2865.9,USGS
grid.3474.4,JCVI
grid.3521.5,SCGH
grid.3532.7,NOAA
grid.3575.4,WHO
grid.4241.3,NTUA
grid.4280.e,NUS
grid.4293.c,INAF
grid.4299.6,OAW
grid.4332.6,ARC
grid.4332.6,AIT
grid.4336.2,OGS
grid.4365.4,ONERA
grid.4367.6,WUSTL
grid.4372.2,MPG
grid.4391.f,OSU
grid.4399.7,IRD
grid.4411.0,OSGK
grid.4422.0,OUC
grid.4425.7,LJMU
grid.4437.4,PAHO
grid.4444.0,CNRS
grid.4488.0,TUD
grid.4489.1,UGR
grid.4494.d,UMCG
grid.4521.2,ULPGC
grid.4556.2,PIK
grid.4561.6,FHG
grid.4578.e,TØI
grid.4612.1,ITE
grid.4616.5,IPPT PAN
grid.4616.5,IPPT
grid.4655.2,CBS
grid.4708.b,UNIMI
grid.4709.a,EMBL
grid.4711.3,CSIC
grid.4714.6,KI
grid.4756.0,LSBU
grid.4764.1,PTB
grid.4777.3,QUB
grid.4818.5,WUR
grid.4819.4,HSWT
grid.4825.b,IFREMER
grid.4831.e,PTS
grid.4834.b,ΙΤΕ
grid.4834.b,FORTH
grid.4836.9,MTA SZTAKI
grid.4843.b,TWI
grid.4858.1,TNO
grid.4861.b,ULg
grid.4862.8,GU
grid.4868.2,QMUL
grid.4886.2,RAS
grid.4905.8,IRB
grid.4905.8,RBI
grid.4912.e,RCSI
grid.4947.e,ARPA
grid.4987.2,AEKI
grid.4987.2,KFKI
grid.4989.c,ULB
grid.4994.0,VUT
grid.4994.0,BUT
grid.5012.6,UM
grid.5018.c,MTA
grid.5037.1,KTH
grid.5098.4,UNWE
grid.5115.0,ARU
grid.5117.2,AAU
grid.5120.6,UTBv
grid.5133.4,UNITS
grid.5146.6,CEU
grid.5164.6,TUC
grid.5170.3,DTU
grid.5173.0,BOKU
grid.5196.b,ENEA
grid.5214.2,GCU
grid.5252.0,LMU
grid.5254.6,UCPH
grid.5259.b,MRU
grid.5268.9,UA
grid.5288.7,OHSU
grid.5319.e,UdG
grid.5326.2,CNR
grid.5328.c,INRIA
grid.5329.d,TUW
grid.5330.5,FAU
grid.5333.6,EPFL
grid.5334.1,SU
grid.5335.0,UoC
grid.5336.3,FVB
grid.5338.d,UV
grid.5361.1,MUI
grid.5368.8,JRC
grid.5374.5,UMK
grid.5379.8,UMIST
grid.5380.e,UdeC
grid.5386.8,CU
grid.5395.a,UniPi
grid.5398.7,ESRF
grid.5399.6,AMU
grid.5403.2,ST
grid.5465.2,UHSM
grid.5468.f,IASA
grid.5507.7,NBU
grid.5509.9,UTA
grid.5510.1,UiO
grid.5515.4,UAM
grid.5570.7,RUB
grid.5571.6,UPPA
grid.5583.b,CEA
grid.5586.e,BMBF
