country_name,country_iso,region_iso,region_name,country_centroid,region_centroid
Afghanistan,AFG,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[66.0084494537942,33.8362696431712]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
Aland,ALD,,,"{""type"":""Point"",""coordinates"":[20.0555820572155,60.1864470940731]}",
Albania,ALB,EUR,Europe,"{""type"":""Point"",""coordinates"":[20.0538191642002,41.1424828349511]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Algeria,DZA,AFR,Africa,"{""type"":""Point"",""coordinates"":[2.65309038803477,28.1488873603532]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
American Samoa,ASM,,,"{""type"":""Point"",""coordinates"":[-170.398920922058,-14.2549435111901]}",
Andorra,AND,EUR,Europe,"{""type"":""Point"",""coordinates"":[1.56075624120752,42.5413265253232]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Angola,AGO,AFR,Africa,"{""type"":""Point"",""coordinates"":[17.5369846566531,-12.2923203620274]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Anguilla,AIA,,,"{""type"":""Point"",""coordinates"":[-63.0626681662031,18.2269359399548]}",
Antarctica,ATA,,,"{""type"":""Point"",""coordinates"":[19.9083978529721,-80.5082193413703]}",
Antigua and Barbuda,ATG,AMR,America,"{""type"":""Point"",""coordinates"":[-61.7917324622562,17.2843802356027]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Argentina,ARG,AMR,America,"{""type"":""Point"",""coordinates"":[-65.1781886320746,-35.3875470285781]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Armenia,ARM,EUR,Europe,"{""type"":""Point"",""coordinates"":[44.9323011718922,40.2881341964328]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Aruba,ABW,,,"{""type"":""Point"",""coordinates"":[-69.9742007499592,12.5169352691053]}",
Ashmore and Cartier Islands,ATC,,,"{""type"":""Point"",""coordinates"":[123.586367786587,-12.4325771765577]}",
Australia,AUS,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[134.491118751904,-25.732310684616]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
Austria,AUT,EUR,Europe,"{""type"":""Point"",""coordinates"":[14.130672958419,47.5856569254508]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Azerbaijan,AZE,EUR,Europe,"{""type"":""Point"",""coordinates"":[47.5421098985575,40.2891199247234]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Bahrain,BHR,EMR,Eastern Mediterranean,"{""type"":""Point"",""coordinates"":[50.5438669474495,26.049177849445]}","{""type"":""Point"",""coordinates"":[39.3715507254052,25.6516486435833]}"
Bangladesh,BGD,SEAR,South-East Asia,"{""type"":""Point"",""coordinates"":[90.2419999095764,23.8456777628712]}","{""type"":""Point"",""coordinates"":[94.3414464235754,15.8732684424615]}"
Barbados,BRB,AMR,America,"{""type"":""Point"",""coordinates"":[-59.5612172743668,13.1810540175191]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Belarus,BLR,EUR,Europe,"{""type"":""Point"",""coordinates"":[28.0335668721683,53.53188043526]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Belgium,BEL,EUR,Europe,"{""type"":""Point"",""coordinates"":[4.63996114075134,50.6374613037757]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Belize,BLZ,AMR,America,"{""type"":""Point"",""coordinates"":[-88.6938883646203,17.2083188953249]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Benin,BEN,AFR,Africa,"{""type"":""Point"",""coordinates"":[2.32874161216618,9.6412150349648]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Bermuda,BMU,,,"{""type"":""Point"",""coordinates"":[-64.7565801979823,32.310714196636]}",
Bhutan,BTN,SEAR,South-East Asia,"{""type"":""Point"",""coordinates"":[90.4044600818258,27.4217564491744]}","{""type"":""Point"",""coordinates"":[94.3414464235754,15.8732684424615]}"
Bolivia,BOL,AMR,America,"{""type"":""Point"",""coordinates"":[-64.6847536013517,-16.7068790400509]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
Bosnia and Herzegovina,BIH,EUR,Europe,"{""type"":""Point"",""coordinates"":[17.773408271544,44.171733992128]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Botswana,BWA,AFR,Africa,"{""type"":""Point"",""coordinates"":[23.7989770909714,-22.1857737662801]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Brazil,BRA,AMR,America,"{""type"":""Point"",""coordinates"":[-53.0924814310442,-10.7808596762201]}","{""type"":""Point"",""coordinates"":[-89.1756025501732,29.8766320044924]}"
British Indian Ocean Territory,IOT,,,"{""type"":""Point"",""coordinates"":[72.2988148230797,-7.14433121956459]}",
British Virgin Islands,VGB,,,"{""type"":""Point"",""coordinates"":[-64.5028631937275,18.5098841288172]}",
Brunei,BRN,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[114.727245845441,4.51650038748624]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
Bulgaria,BGR,EUR,Europe,"{""type"":""Point"",""coordinates"":[25.2175126266167,42.7685226670042]}","{""type"":""Point"",""coordinates"":[76.350137250669,57.9777387954001]}"
Burkina Faso,BFA,AFR,Africa,"{""type"":""Point"",""coordinates"":[-1.75552708839229,12.2695498832529]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Burundi,BDI,AFR,Africa,"{""type"":""Point"",""coordinates"":[29.8750826945732,-3.35742533613606]}","{""type"":""Point"",""coordinates"":[17.065238298153,2.37371028168529]}"
Cambodia,KHM,WPR,Western Pacific,"{""type"":""Point"",""coordinates"":[104.902804346211,12.7155626094625]}","{""type"":""Point"",""coordinates"":[116.983181883096,13.1541697534531]}"
