title,description,website,excerpt,participants,start_date,end_date,private,online,address,address2,city,country,state,latitute,longitude,postcode
Elucidating the in vivo role of Pyk2 in cancer metastasis,"Over the past few years, imaging technologies and experiments have helped to visualize the dynamics of cellular movements, the signaling pathways, and the nature of tumor-stroma interactions involved in the various stages of the metastatic process. Thus, insights from live imaging could ultimately shed light on how to effectively treat cancer metastasis. The non-receptor tyrosine kinase Pyk2 is highly expressed in invasive cancers, but the mechanism through which it regulates invasion and metastasis are currently unknown. Using in vivo mice models and high-resolution intravital imaging, the project described herein aims to explore the cellular mechanisms by which Pyk2 controls breast tumor cell dissemination from the primary tumor and spreading to distant sites throughout the body. We hope to translate the results from the proposed study into novel strategies for predicting the invasive potential of breast carcinoma and, more importantly, for blocking breast cancer metastasis.",http://www.uicc.org/programmes/geti/our-activities/study-grants,,"Joel Alter, John Condeelis",12/14/2016,2/15/2016,TRUE,FALSE,"Bar-Ilan University - Begin Building, Ramat-Gan, Israel",,Ramat-Gan,Israel,,32.068424,34.824785,
Targeting RNASEH2A-IKKi signal in nasopharyngeal carcinoma,"We hypothesize that RNASEH2A promotes NPC genesis through IKKi signaling, inhibition of RNASEH2A and/or IKKi would be a high-efficient way to prevent and block NPC development. We will investigate whether genetically and pharmaceutically inhibiting RNASEH2A and/or IKKi blocks NPC development in mouse models, and whether the tumor-promoting function of RNASEH2A is dependent on IKKi signaling. We firmly believe that our studies will lead to development of novel strategies for the treatment and prevention of human NPC.",http://www.uicc.org/programmes/geti/our-activities/study-grants,,"Xueping Feng, Jun-Li Luo",5/14/2016,8/14/2016,TRUE,FALSE,"Xiangya Hospital, Central South University 87 Xiangya Road",,Changsha,China,,28.213361,112.983487,
A new Bayesian approach to investigate the effect of socio-economic disparities on cancer burden in Italy,"This project aims at investigating the role of socio-economic disparities on cancer burden in Italy. Aggregated data will be used for a spatio-temporal analysis. The main problems encountered in using aggregated data are, on one hand, the measure of area socio economic status and, on the other hand, the possibility of controlling the statistical analysis for area-specific characteristic, such as environmental exposures, lifestyle factors, differences in medical care and presence of screening programs. These factors are likely to make the extent of cancer burden heterogeneously distributed across the areas. Innovative statistical methods need to be developed to monitor and study socio-economic disparities on cancer outcomes. In a multilevel hierarchical model, area and individual level socio-economic data will be integrated. Finally, a Bayesian spatio-temporal model for aggregated disease count data will be developed in order to, among other features, correct for spatial confounding.",http://www.uicc.org/programmes/geti/our-activities/study-grants,,"Maura Mezzetti, Francesca Dominici",2/15/2016,5/15/2016,TRUE,FALSE,,,Rome,Italy,,41.853405,12.624571,
Assessment of the role of diabetes treatment and duration on breast cancer incidence in women,"Type 2 diabetes (T2D) and breast cancer (BC) are complex diseases. Genetic, environmental and lifestyle factors are thought to interplay in their pathogenesis. Little is known about the biological mechanisms by which diabetes may affect breast cancer incidence and mortality. Specifically, the role of diabetes treatment in breast carcinogenesis remains unknown. My stage at the International Agency for Research on Cancer (IARC) will allow me to access information of large cohort studies and I will be able to learn how to handle and analyse complex data. Among my acquired skills will be to do risk to BC assessment using Cox Regression; to conduct a meta-analysis and to analyse direct, indirect and interactive effects between obesity and BC, and also between physical activity and BC using Structural equation models.",http://www.uicc.org/programmes/geti/our-activities/study-grants,,"Hortensia Moreno Macias, Isabelle Romieu ",5/14/2016,7/14/2016,TRUE,FALSE,"Universidad Autonoma Metropolitana-Iztapalapa, Colonia Vicentina",,Mexico City,Mexico,,19.382975,-99.155158,
A novel histone H3 phosphorylation that regulates genome integrity,"We have found a chemical molecule (phosphorylation) on histones that protects the DNA of cancer cells when there is a lot of damage so that these cells survive chemotherapy and later divide very aggressively. Our goal is to find exactly how this histone phosphorylation protects cancer DNA and be able later to target it with new drugs and prevent tumor relapse. In the future, we hope the knowledge obtained from our study will help to make current chemotherapeutic strategies more effective.",http://www.uicc.org/programmes/geti/our-activities/study-grants,,"Nikolaos Parisis, Hironori Funabiki",1/15/2016,3/15/2016,TRUE,FALSE,,1919 route de Mende,Montpellier,France,,43.638652,3.865048,
Novel Oleanane Triterpenoid AMR-MeOAc for Breast Cancer Prevention and Therapy,The proposed research is aimed at continuing investigations at evaluating the compound AMR-MeOAC as multi-factorial anti breast cancer agent that kills the pancreatic cancer cells effectively.The specific aims of the project are the following: Aim 1: To determine the antiproliferative effect of AMR-MeOAc as oncogenic PIK3CA targeted cancer preventive agent on immortalised normal mammary epithelial MCF-10A cells and antiproliferative effect in breast cancer MCF-7 cells result from decreased VEGF expression by transcriptional downregulation of PI3K/Akt. Aim 2: To assess the efficacy of AMR-MeOAc inhibition of VEGF and PI3K/Akt signaling against hormone-sensitive breast cancer xenograft. We expect that the systematic investigation of AMR-Me and AMR-MeOAc in functional in vitro bioassays and in vivo tumor studies in mice will unveil a new anticancer agent for development into a clinically effective compound for the prevention and treatment of breast cancer.,http://www.uicc.org/programmes/geti/our-activities/study-grants,,"Thangaiyan Rabi, Fengzhi Li",5/14/2016,7/14/2016,TRUE,FALSE,Siddha Clinic and Cancer Research Center,"St. Xavier Street        Neyyoor, Tamil Nadu 629802",Tamil Nadu,India,,8.211945,77.302376,
Superparamagnetic iron oxide nanoparticles conjugated with Hsp70 or specific anti-Hsp70 monoclonal antibody (cmHsp70.1) for targeting brain tumors in magnetic resonance imaging,"The aim of the project is to construct magnetic nanoparticles carriers functionalized with Hsp70 and cmHsp70.1 monoclonal antibodies and to estimate their tumor-specificity and selectivity in in vitro experiments with tumor cells of several types including melanoma, glioblastoma and others. On the second stage using model of intracranial C6 glioblastoma in rats the dose of nanoparticles and time for the their retention will be determined with the aid of magnetic resonance imaging with the specific relation to tumor contrast enhancing parameters. The specificity of conjugates towards intracranial tumor will be compared with standard contrast agents. The data will form the ground for the preclinical and further clinical trials of the nanoparticles-based technology.",http://www.uicc.org/programmes/geti/our-activities/study-grants,,"Maxim Shevtsov, Gabriele Multhoff",12/14/2016,3/15/2016,TRUE,FALSE,Institute of Cytology of the Russian Academy of Sciences (RAS),"Tikhoretsky ave., 4",St.Petersburg,Russian Federation,,60.01123,30.36825,
Establishment of Epstein-Barr virus infection ex vivo models in healthy and pre-malignant nasopharyngeal epithelial cell cultures,"Great improvements have been made in understanding the role of B cells in EBV persistence in vivo due to the accessibility of infected primary B lymphocytes in the blood and lymph nodes, and the availability of an in vitro infection system. Although a variety of in vitro epithelial cell culture model for EBV infection have been explored, they may not closely represent the situation in nasopharynx. The failure to detect infected epithelial cells in vivo and the lack of an accurate in vitro nasopharyngeal epithelial culture model have severely hampered this kind of research. Here we propose to establish three in vitro models of EBV infection using primary nasopharyngeal epithelial cells. The proposed more precise ex vivo infection models in this study will enhance our understanding of EBV latent persistent infection, replication and their contribution to the pathogenesis of NPC.",http://www.uicc.org/programmes/geti/our-activities/study-grants,,"Fenggang Yu, Hironori Yoshiyama",1/15/2016,1/15/2016,TRUE,FALSE,"Department of Otolaryngology NUHS, NUHS Tower Block 1E Kent Ridge Road, Level 7, Singapore National University of Singapore",,Singapore,Singapore,,1.296643,103.776394,
A functional genomic screen of de-ubiquitinating enzymes involved in ovarian cancer progression,"In the present proposal we aim at investigating the role of de-ubiquitinating enzymes (DUBs) in Epithelial Ovaric Cancer (EOC) progression. In particular the focus of the project is to address the involvement of (DUBs) in DNA damage response and their contribution to tumor progression, focusing in particular on the acquisition of the chemoresistant and proangiogenic phenotypes. I will perform äóìloss-of-functionäó genetic screens through RNA interference using a commercial DUB shRNA library; I hope to identify specific DUBs that are implicated in the development of chemo-resistance and in the acquisition of the angiogenic phenotype. Finally, to determine the molecular mechanisms that underlie these tumorigenic phenotypes I will perform a mass spectrometric analysis to identify specific substrates targeted by DUBs.",http://www.uicc.org/programmes/geti/our-activities/beginning-investigators,,"Annalisa Carlucci, Vincenzo D'Angiolella",5/14/2016,5/15/2016,TRUE,FALSE,"University Campus, Viale Europa Germaneto 88100 Catanzaro",,Catanzaro,Italy,,38.909792,16.587652,
Optimization of Notch inhibitors for treatment of cancer and tumour angiogensis,"Objective of this project is to optimise Notch inhibitors for the treatment of cancer cells and tumour associated angiogenesis. We hypothesise that there is a bi-directional cross talk between cancer cells and endothelial cells in their microenvironment, which acts to promote cancer growth and invasion, as well as malignant neo-angiogenesis. We further hypothesise that Notch signalling is one of the key mediators of this cross talk, and that depending on the pattern of expression of Notch receptors and ligands between cancer cells and endothelial cells, the nature of this cross talk, and therefore cancer aggressiveness and response to distinct Notch inhibitors will be different. This would imply that in order to choose the optimal Notch inhibitor for each patient in the clinic, we need to know the nature of this intricate crosstalk.",http://www.uicc.org/programmes/geti/our-activities/beginning-investigators,,"Aleksandra Filipovic, Jan Kitajewski",5/14/2016,4/15/2016,TRUE,FALSE,Imperial College School of Medicine,Hammersmith Campus Du Cane Road,London,United Kingdom,,51.491188,-0.223731,
