grid_id,name,wikipedia_url,email_address,established
grid.1001.0,Australian National University,http://en.wikipedia.org/wiki/Australian_National_University,,1946
grid.1002.3,Monash University,http://en.wikipedia.org/wiki/Monash_University,,1958
grid.1003.2,University of Queensland,http://en.wikipedia.org/wiki/University_of_Queensland,"",1909
grid.1004.5,Macquarie University,http://en.wikipedia.org/wiki/Macquarie_University,,1964
grid.1005.4,UNSW Australia,http://en.wikipedia.org/wiki/University_of_New_South_Wales,,1949
grid.1006.7,Newcastle University,http://en.wikipedia.org/wiki/Newcastle_University,,1834
grid.1007.6,University of Wollongong,http://en.wikipedia.org/wiki/University_of_Wollongong,,1951
grid.1008.9,University of Melbourne,http://en.wikipedia.org/wiki/University_of_Melbourne,"",1853
grid.1009.8,University of Tasmania,http://en.wikipedia.org/wiki/University_of_Tasmania,,1890
grid.1010.0,University of Adelaide,http://en.wikipedia.org/wiki/University_of_Adelaide,"",1874
grid.1011.1,James Cook University,http://en.wikipedia.org/wiki/James_Cook_University,"",1961
grid.1012.2,University of Western Australia,http://en.wikipedia.org/wiki/University_of_Western_Australia,,1911
grid.1013.3,University of Sydney,http://en.wikipedia.org/wiki/University_of_Sydney,"",1850
grid.1014.4,Flinders University,http://en.wikipedia.org/wiki/Flinders_University,"",1966
grid.1016.6,Commonwealth Scientific and Industrial Research Organisation (CSIRO),http://en.wikipedia.org/wiki/Commonwealth_Scientific_and_Industrial_Research_Organisation,"",1926
grid.1017.7,Royal Melbourne Institute of Technology University,http://en.wikipedia.org/wiki/RMIT_University,,1887
grid.1018.8,La Trobe University,http://en.wikipedia.org/wiki/La_Trobe_University,,1964
grid.1019.9,Victoria University,"http://en.wikipedia.org/wiki/Victoria_University,_Australia","",1916
grid.1020.3,University of New England,http://en.wikipedia.org/wiki/University_of_New_England_(Australia),"",1938
grid.1021.2,Deakin University,http://en.wikipedia.org/wiki/Deakin_University,,1974
grid.1022.1,Griffith University,http://en.wikipedia.org/wiki/Griffith_University,,1971
grid.1023.0,Central Queensland University,http://en.wikipedia.org/wiki/Central_Queensland_University,,1967
grid.1024.7,Queensland University of Technology,http://en.wikipedia.org/wiki/Queensland_University_of_Technology,,1989
grid.1025.6,Murdoch University,http://en.wikipedia.org/wiki/Murdoch_University,,1975
grid.1026.5,University of South Australia,http://en.wikipedia.org/wiki/University_of_South_Australia,"",1991
grid.1027.4,Swinburne University of Technology,http://en.wikipedia.org/wiki/Swinburne_University_of_Technology,,1908
grid.1029.a,University of Western Sydney,http://en.wikipedia.org/wiki/University_of_Western_Sydney,,1891
