grid_id,type
grid.1001.0,Education
grid.1002.3,Education
grid.1003.2,Education
grid.1004.5,Education
grid.1005.4,Education
grid.1006.7,Education
grid.1007.6,Education
grid.1008.9,Education
grid.1009.8,Education
grid.1010.0,Education
grid.1011.1,Education
grid.1012.2,Education
grid.1013.3,Education
grid.1014.4,Education
grid.1016.6,Government
grid.1017.7,Education
grid.1018.8,Education
grid.1019.9,Education
grid.1020.3,Education
grid.1021.2,Education
grid.1022.1,Education
grid.1023.0,Education
grid.1024.7,Education
grid.1025.6,Education
grid.1026.5,Education
grid.1027.4,Education
grid.1029.a,Education
grid.1031.3,Education
grid.1032.0,Education
grid.1033.1,Education
grid.1034.6,Education
grid.1035.7,Education
grid.1037.5,Education
grid.1038.a,Education
grid.1039.b,Education
grid.1040.5,Education
grid.1042.7,Nonprofit
grid.1043.6,Education
grid.1046.3,Facility
grid.1047.2,Government
grid.1048.d,Education
grid.1049.c,Facility
grid.1051.5,Nonprofit
grid.1052.6,Nonprofit
grid.1055.1,Healthcare
grid.1056.2,Nonprofit
grid.1057.3,Nonprofit
grid.1058.c,Nonprofit
grid.1064.3,Facility
grid.1073.5,Nonprofit
grid.1076.0,Facility
grid.1088.1,Education
grid.1089.0,Government
grid.1108.8,Education
grid.1121.3,Company
grid.1214.6,Government
grid.1236.6,Company
grid.1281.a,Company
grid.1310.3,Government
grid.1343.5,Company
grid.1374.1,Education
grid.1403.6,Company
grid.1441.0,Company
grid.1453.3,Company
grid.1463.0,Government
grid.1489.4,Nonprofit
grid.1491.d,Healthcare
grid.1504.0,Company
grid.1527.1,Company
grid.1543.3,Company
grid.1623.6,Healthcare
grid.1649.a,Healthcare
grid.1658.a,Government
grid.1680.f,Government
grid.1694.a,Healthcare
grid.1743.1,Company
grid.1957.a,Education
grid.2134.4,Company
grid.2294.d,Education
grid.2483.d,Company
grid.2515.3,Healthcare
grid.2678.b,Government
grid.2824.c,Healthcare
grid.2865.9,Government
grid.2875.8,Company
grid.3006.5,Healthcare
grid.3263.4,Nonprofit
grid.3319.8,Company
grid.3393.a,Company
grid.3474.4,Nonprofit
grid.3521.5,Healthcare
grid.3532.7,Government
grid.3575.4,Government
grid.3613.7,Nonprofit
grid.3973.e,Company
grid.4241.3,Education
grid.4268.8,Education
grid.4269.9,Company
grid.4278.9,Company
grid.4280.e,Education
grid.4293.c,Government
grid.4299.6,Government
grid.4305.2,Education
grid.4307.0,Facility
grid.4319.f,Facility
grid.4332.6,Facility
grid.4336.2,Facility
grid.4347.4,Company
grid.4365.4,Facility
grid.4367.6,Education
grid.4372.2,Nonprofit
grid.4391.f,Education
grid.4399.7,Government
grid.4411.0,Nonprofit
grid.4422.0,Education
grid.4425.7,Education
grid.4437.4,Other
grid.4444.0,Government
grid.4461.7,Education
grid.4462.4,Education
grid.4463.5,Education
grid.4464.2,Education
grid.4466.0,Education
grid.4488.0,Education
grid.4489.1,Education
grid.4491.8,Education
grid.4494.d,Healthcare
grid.4495.c,Education
grid.4514.4,Education
grid.4521.2,Education
grid.4527.4,Nonprofit
grid.4551.5,Education
grid.4556.2,Facility
grid.4561.6,Government
grid.4562.5,Education
grid.4563.4,Education
grid.4567.0,Facility
grid.4578.e,Nonprofit
grid.4605.7,Education
grid.4612.1,Facility
grid.4616.5,Facility
grid.4643.5,Education
grid.4655.2,Education
grid.4691.a,Education
grid.4694.f,Company
grid.4701.2,Education
